epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9706,2.26153,4.42555,1.79572,0.00288,0.18052,0.08814,0.05335,2.20114,4.27007,1.90071,0.0002312,0.0002312,0.0002312
2,25.0271,2.02156,3.14267,1.56211,0.97194,0.05891,0.29537,0.18831,2.14374,3.6336,1.79026,0.00045991,0.00045991,0.00045991
3,35.9313,2.0087,2.71523,1.50371,0.69558,0.31382,0.41045,0.24892,2.18036,3.07217,1.84243,0.000679195,0.000679195,0.000679195
4,47.158,1.98467,2.53581,1.51698,0.48406,0.36796,0.39455,0.22638,2.22926,3.01105,1.84715,0.000671588,0.000671588,0.000671588
5,58.273,1.9709,2.40169,1.48405,0.58633,0.44763,0.46673,0.26612,2.18171,2.67498,1.77865,0.000657451,0.000657451,0.000657451
6,69.7073,1.91185,2.24625,1.47298,0.61877,0.50954,0.5042,0.30296,2.09473,2.42135,1.6779,0.000643314,0.000643314,0.000643314
7,81.8941,1.88985,2.2259,1.48534,0.60608,0.51391,0.49912,0.28797,2.13221,2.46825,1.68406,0.000629177,0.000629177,0.000629177
8,93.0678,1.82283,2.07279,1.41445,0.61616,0.49884,0.51055,0.31079,2.07461,2.40272,1.65129,0.00061504,0.00061504,0.00061504
9,103.56,1.82688,1.95776,1.40916,0.69457,0.54473,0.54306,0.32448,2.11768,2.26373,1.60685,0.000600902,0.000600902,0.000600902
10,114.894,1.81519,2.00775,1.43194,0.57568,0.54742,0.55621,0.33793,2.02876,2.23147,1.63623,0.000586765,0.000586765,0.000586765
11,126.223,1.71189,1.90464,1.36048,0.64998,0.55931,0.58821,0.35978,2.034,2.23342,1.63432,0.000572628,0.000572628,0.000572628
12,137.731,1.74405,1.86293,1.38311,0.66944,0.57747,0.59579,0.36597,2.01319,2.19044,1.63736,0.000558491,0.000558491,0.000558491
13,149.067,1.72175,1.85412,1.36265,0.65057,0.59163,0.60162,0.36129,2.0273,2.17333,1.64091,0.000544354,0.000544354,0.000544354
14,160.46,1.74514,1.79746,1.38503,0.71403,0.57361,0.61256,0.37935,1.99849,2.12699,1.65806,0.000530216,0.000530216,0.000530216
15,171.01,1.72948,1.88761,1.38461,0.64074,0.54149,0.57337,0.34994,1.99226,2.19596,1.60562,0.000516079,0.000516079,0.000516079
16,181.832,1.69367,1.74245,1.35155,0.68353,0.55618,0.58478,0.3609,1.97244,2.12286,1.5904,0.000501942,0.000501942,0.000501942
17,193.4,1.73347,1.86838,1.40023,0.77272,0.56263,0.62463,0.37625,1.99575,2.05879,1.5567,0.000487805,0.000487805,0.000487805
18,204.891,1.70195,1.71692,1.36258,0.79482,0.6081,0.63358,0.39323,1.98235,2.01945,1.61274,0.000473668,0.000473668,0.000473668
19,216.267,1.63536,1.57984,1.29982,0.83585,0.6011,0.64603,0.38866,1.99746,1.96799,1.64999,0.00045953,0.00045953,0.00045953
20,227.739,1.71102,1.68929,1.35387,0.72357,0.58908,0.63814,0.38758,1.96129,2.00432,1.59901,0.000445393,0.000445393,0.000445393
21,238.891,1.68192,1.69355,1.34375,0.69416,0.60961,0.6187,0.38002,1.94775,2.1242,1.56425,0.000431256,0.000431256,0.000431256
22,249.447,1.62384,1.646,1.32481,0.73538,0.61297,0.64622,0.4004,1.93913,2.02547,1.56508,0.000417119,0.000417119,0.000417119
23,260.918,1.62707,1.62733,1.34086,0.6935,0.62158,0.64766,0.40421,1.9463,1.96452,1.6344,0.000402982,0.000402982,0.000402982
24,272.527,1.58157,1.57833,1.31653,0.74953,0.68225,0.65473,0.40004,1.9833,2.00736,1.65177,0.000388844,0.000388844,0.000388844
25,284.131,1.62983,1.57266,1.31571,0.68111,0.65458,0.64363,0.39653,2.00224,1.99366,1.59891,0.000374707,0.000374707,0.000374707
26,295.764,1.57442,1.50769,1.27893,0.69836,0.60588,0.64223,0.40296,1.94113,1.97687,1.55673,0.00036057,0.00036057,0.00036057
27,307.088,1.53438,1.48269,1.26582,0.72861,0.62645,0.65065,0.39062,1.98386,1.93857,1.61022,0.000346433,0.000346433,0.000346433
28,318.004,1.54259,1.48429,1.29622,0.75739,0.60854,0.65948,0.40582,2.0066,1.91185,1.61694,0.000332296,0.000332296,0.000332296
29,329.015,1.5348,1.45806,1.2602,0.76391,0.61545,0.66672,0.4143,1.95164,1.91584,1.61577,0.000318158,0.000318158,0.000318158
