epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3261,2.288,4.87747,1.87435,0.49819,0.27723,0.26773,0.16753,2.24785,3.77591,1.93239,0.0002312,0.0002312,0.0002312
2,31.8751,1.8862,2.34373,1.51749,0.58066,0.42636,0.44508,0.26779,2.16328,2.81878,1.8232,0.00045991,0.00045991,0.00045991
3,45.629,1.88203,2.04897,1.49751,0.56713,0.50052,0.51157,0.30966,2.1314,2.45485,1.81296,0.000679195,0.000679195,0.000679195
4,59.2068,1.87004,1.96708,1.54069,0.52688,0.46048,0.49469,0.28959,2.12142,2.85014,1.78061,0.000671588,0.000671588,0.000671588
5,72.5796,1.85456,1.89058,1.49299,0.57896,0.59283,0.56909,0.32984,2.12791,2.58156,1.82777,0.000657451,0.000657451,0.000657451
6,86.2833,1.79808,1.75376,1.47285,0.70279,0.5166,0.54568,0.31378,2.10634,2.31111,1.75978,0.000643314,0.000643314,0.000643314
7,99.9652,1.83036,1.82254,1.50301,0.72427,0.52236,0.55252,0.3233,2.10877,2.29146,1.78977,0.000629177,0.000629177,0.000629177
8,113.776,1.75917,1.74261,1.46336,0.64791,0.54432,0.57605,0.33386,2.1052,2.24118,1.71432,0.00061504,0.00061504,0.00061504
9,127.583,1.7632,1.59831,1.43553,0.77216,0.5962,0.61446,0.36715,1.99996,2.09946,1.73562,0.000600902,0.000600902,0.000600902
10,141.198,1.73752,1.64529,1.4633,0.78456,0.57951,0.62956,0.36209,2.03119,2.10789,1.71936,0.000586765,0.000586765,0.000586765
11,154.677,1.62803,1.54623,1.37839,0.77432,0.59381,0.63239,0.38517,1.9859,2.07804,1.68821,0.000572628,0.000572628,0.000572628
12,168.271,1.66695,1.50777,1.39697,0.71139,0.61137,0.61832,0.37558,2.02448,2.11587,1.70718,0.000558491,0.000558491,0.000558491
13,181.781,1.61079,1.47519,1.36536,0.71638,0.63071,0.64837,0.38653,2.01722,2.03058,1.71403,0.000544354,0.000544354,0.000544354
14,195.445,1.67474,1.48903,1.39671,0.68429,0.6156,0.64701,0.38751,2.03403,1.98672,1.76716,0.000530216,0.000530216,0.000530216
15,209.078,1.61141,1.52718,1.3807,0.71151,0.58752,0.64628,0.39562,2.01929,2.01424,1.74272,0.000516079,0.000516079,0.000516079
16,222.77,1.59177,1.41119,1.34747,0.67592,0.65705,0.65661,0.39237,1.97975,2.00919,1.64675,0.000501942,0.000501942,0.000501942
17,236.395,1.64098,1.56555,1.41712,0.73193,0.6285,0.66103,0.39707,2.08427,2.16581,1.68003,0.000487805,0.000487805,0.000487805
18,249.926,1.58987,1.43737,1.36418,0.72481,0.60732,0.63954,0.40157,1.95103,2.19001,1.64062,0.000473668,0.000473668,0.000473668
19,263.455,1.52427,1.28962,1.28663,0.85109,0.62224,0.67439,0.41951,1.97232,1.95141,1.63683,0.00045953,0.00045953,0.00045953
20,277.081,1.59516,1.40899,1.35827,0.7628,0.60281,0.65632,0.39554,1.97684,2.09594,1.6712,0.000445393,0.000445393,0.000445393
21,290.987,1.55332,1.38782,1.3394,0.71068,0.64582,0.66148,0.40044,2.0044,1.96517,1.69842,0.000431256,0.000431256,0.000431256
22,304.559,1.52418,1.33913,1.31954,0.76061,0.63451,0.67347,0.41572,1.9456,1.95641,1.65667,0.000417119,0.000417119,0.000417119
23,317.994,1.50343,1.30261,1.3198,0.88082,0.61775,0.68023,0.42584,1.95115,1.93944,1.63613,0.000402982,0.000402982,0.000402982
24,331.494,1.47761,1.2927,1.30217,0.74854,0.64596,0.67049,0.41316,2.00716,1.9307,1.68694,0.000388844,0.000388844,0.000388844
25,344.96,1.51875,1.28246,1.30043,0.82797,0.62286,0.67086,0.39306,2.03155,2.06125,1.68746,0.000374707,0.000374707,0.000374707
26,358.445,1.45266,1.22019,1.27321,0.76911,0.64881,0.70027,0.42725,1.95755,1.91254,1.64439,0.00036057,0.00036057,0.00036057
27,372.053,1.40226,1.19933,1.25682,0.77013,0.64817,0.68575,0.42225,1.9341,1.91087,1.64498,0.000346433,0.000346433,0.000346433
28,385.917,1.41768,1.20608,1.28833,0.75225,0.64024,0.68125,0.40334,1.98196,1.94876,1.66666,0.000332296,0.000332296,0.000332296
29,399.757,1.42725,1.18597,1.248,0.77703,0.65986,0.67397,0.42157,1.92102,1.92928,1.59168,0.000318158,0.000318158,0.000318158
30,413.437,1.37432,1.17117,1.22922,0.70867,0.66633,0.6811,0.41643,1.97356,2.08468,1.64276,0.000304021,0.000304021,0.000304021
31,427.184,1.36639,1.1377,1.22844,0.76822,0.64731,0.68314,0.41052,2.00086,1.99707,1.67899,0.000289884,0.000289884,0.000289884
32,441.12,1.40253,1.19363,1.26293,0.74312,0.64026,0.66343,0.40758,2.00132,2.01348,1.69369,0.000275747,0.000275747,0.000275747
33,454.981,1.34214,1.13429,1.23719,0.7764,0.66159,0.69674,0.42165,1.97345,1.93069,1.6708,0.00026161,0.00026161,0.00026161
34,468.721,1.31762,1.06127,1.20161,0.78991,0.66822,0.69431,0.4285,1.97758,1.94552,1.71188,0.000247472,0.000247472,0.000247472
35,482.529,1.33791,1.07596,1.19377,0.79916,0.64761,0.67911,0.42862,1.95929,1.91212,1.68158,0.000233335,0.000233335,0.000233335
36,496.407,1.33898,1.09084,1.21295,0.75757,0.68271,0.70313,0.43218,1.96764,1.91962,1.65796,0.000219198,0.000219198,0.000219198
37,510.044,1.26493,1.00951,1.18141,0.77349,0.67348,0.69294,0.43393,1.96039,1.93136,1.66679,0.000205061,0.000205061,0.000205061
38,523.682,1.35042,1.12444,1.21386,0.76763,0.66903,0.68628,0.42299,1.98773,1.95396,1.7159,0.000190924,0.000190924,0.000190924
39,537.216,1.32905,1.1224,1.21889,0.79792,0.67312,0.70322,0.43289,1.94169,1.9118,1.66488,0.000176786,0.000176786,0.000176786
40,550.914,1.27494,1.05043,1.19837,0.79253,0.67735,0.70763,0.43452,1.92183,1.9505,1.63945,0.000162649,0.000162649,0.000162649
41,566.224,1.27026,1.14865,1.2407,0.80019,0.67389,0.70329,0.42429,1.96973,1.87185,1.68007,0.000148512,0.000148512,0.000148512
42,579.674,1.24527,1.07783,1.22595,0.79447,0.67897,0.70585,0.43621,1.94564,1.86981,1.66409,0.000134375,0.000134375,0.000134375
43,593.149,1.25018,1.0893,1.2408,0.77666,0.67184,0.69269,0.42866,1.95418,1.92415,1.69926,0.000120238,0.000120238,0.000120238
44,606.363,1.1929,1.00779,1.19956,0.75533,0.66725,0.68885,0.43157,1.95452,1.90281,1.67472,0.0001061,0.0001061,0.0001061
45,619.912,1.19945,1.01596,1.19785,0.74234,0.68959,0.69692,0.43737,1.95498,1.93329,1.66645,9.19632e-05,9.19632e-05,9.19632e-05
46,633.363,1.17821,0.97264,1.1679,0.76629,0.67489,0.69181,0.43611,1.94547,1.9424,1.66384,7.7826e-05,7.7826e-05,7.7826e-05
47,646.625,1.14126,0.94527,1.15521,0.77228,0.67334,0.69337,0.43283,1.95444,1.95077,1.66784,6.36888e-05,6.36888e-05,6.36888e-05
48,659.914,1.14981,0.95361,1.16501,0.78384,0.66666,0.69256,0.43497,1.94886,1.93836,1.67294,4.95516e-05,4.95516e-05,4.95516e-05
49,673.059,1.12692,0.93781,1.1579,0.75382,0.68061,0.69185,0.43276,1.9576,1.96126,1.66677,3.54144e-05,3.54144e-05,3.54144e-05
50,686.307,1.13666,0.93165,1.15056,0.76103,0.67866,0.68961,0.43221,1.96337,1.9677,1.67906,2.12772e-05,2.12772e-05,2.12772e-05
